logg,Teff,Z,aLSM,bLSM
3.5,4000,-5,0.026220049,0.214299226
3.5,4250,-5,0.044733628,0.221549038
4,4250,-5,0.030778704,0.210583379
3.5,4500,-5,0.092515962,0.249840207
4,4500,-5,0.06249815,0.233109958
3.5,4750,-5,0.117098307,0.276122664
4,4750,-5,0.087142705,0.256008414
4.5,4750,-5,0.063233601,0.237418309
3.5,5000,-5,0.11941301,0.256728485
4,5000,-5,0.11063693,0.249787336
4.5,5000,-5,0.094756833,0.242439778
5,5000,-5,0.078080323,0.233830834
3.5,5250,-5,0.123558452,0.259513824
4,5250,-5,0.11365754,0.257776378
4.5,5250,-5,0.104183931,0.250583001
5,5250,-5,0.082696942,0.271643807
3.5,5500,-5,0.127852379,0.259783464
4,5500,-5,0.118766935,0.262731444
4.5,5500,-5,0.109768376,0.259773729
5,5500,-5,0.099902092,0.254282915
3.5,5750,-5,0.129296523,0.259060735
4,5750,-5,0.120888992,0.26277846
4.5,5750,-5,0.113041321,0.262312259
5,5750,-5,0.103413753,0.259286389
3.5,6000,-5,0.127426881,0.257071668
4,6000,-5,0.121006851,0.262243731
4.5,6000,-5,0.11515142,0.263463585
5,6000,-5,0.107446077,0.262569866
3.5,6250,-5,0.123833129,0.256804371
4,6250,-5,0.119628291,0.261190878
4.5,6250,-5,0.115586588,0.263159739
5,6250,-5,0.109031034,0.262657538
3.5,6500,-5,0.11490873,0.257168157
4,6500,-5,0.114112761,0.260416232
4.5,6500,-5,0.11244851,0.261812181
5,6500,-5,0.109024991,0.261907838
3.5,6750,-5,0.106848918,0.257948142
4,6750,-5,0.108213282,0.260190977
4.5,6750,-5,0.10875698,0.261043754
5,6750,-5,0.107682115,0.260982905
3.5,7000,-5,0.093279826,0.258934761
4,7000,-5,0.097746075,0.25967792
4.5,7000,-5,0.101105687,0.259856193
5,7000,-5,0.102542143,0.259420074
3.5,7250,-5,0.086028131,0.258675332
4,7250,-5,0.090459781,0.258739822
4.5,7250,-5,0.094820086,0.258917144
5,7250,-5,0.098076937,0.258402351
3.5,7500,-5,0.090018701,0.230742874
4,7500,-5,0.081470628,0.255490244
4.5,7500,-5,0.085278437,0.256527778
5,7500,-5,0.089620763,0.256494388
3.5,7750,-5,0.108434388,0.218986663
4,7750,-5,0.07436106,0.248123779
4.5,7750,-5,0.079771746,0.254075566
5,7750,-5,0.083857474,0.254688623
3.5,8000,-5,0.130155439,0.204225629
4,8000,-5,0.092725601,0.227526942
4.5,8000,-5,0.071691144,0.245759316
5,8000,-5,0.076045501,0.250622083
3.5,8250,-5,0.137592432,0.187176224
4,8250,-5,0.112563607,0.211932696
4.5,8250,-5,0.074004658,0.237520517
5,8250,-5,0.072763589,0.246394465
3.5,8500,-5,0.12778183,0.183574103
4,8500,-5,0.131221389,0.181802306
4.5,8500,-5,0.103807761,0.212055121
5,8500,-5,0.06821621,0.23502538
3.5,8750,-5,0.122245705,0.18214091
4,8750,-5,0.125210609,0.178332661
4.5,8750,-5,0.122147807,0.186625324
5,8750,-5,0.087539455,0.22194341
3.5,9000,-5,0.115931589,0.179455554
4,9000,-5,0.118101276,0.175304188
4.5,9000,-5,0.120591152,0.172880347
5,9000,-5,0.113415008,0.186795764
3.5,9250,-5,0.115931589,0.179455554
4,9250,-5,0.118101276,0.175304188
4.5,9250,-5,0.120591152,0.172880347
5,9250,-5,0.113415008,0.186795764
3.5,9500,-5,0.115931589,0.179455554
4,9500,-5,0.118101276,0.175304188
4.5,9500,-5,0.120591152,0.172880347
5,9500,-5,0.113415008,0.186795764
3.5,9750,-5,0.115931589,0.179455554
4,9750,-5,0.118101276,0.175304188
4.5,9750,-5,0.120591152,0.172880347
5,9750,-5,0.113415008,0.186795764
3.5,10000,-5,0.115931589,0.179455554
4,10000,-5,0.118101276,0.175304188
4.5,10000,-5,0.120591152,0.172880347
5,10000,-5,0.113415008,0.186795764
3.5,3750,-4.5,0.018076745,0.287810451
3.5,4000,-4.5,0.026298499,0.221018629
4,4000,-4.5,0.019629337,0.22619736
3.5,4250,-4.5,0.04484191,0.224082642
4,4250,-4.5,0.031192345,0.212983871
4.5,4250,-4.5,0.025245154,0.210868819
3.5,4500,-4.5,0.0928255,0.250852429
4,4500,-4.5,0.062811756,0.234217372
4.5,4500,-4.5,0.043381983,0.219868364
5,4500,-4.5,0.033095657,0.206736577
3.5,4750,-4.5,0.117674897,0.276337115
4,4750,-4.5,0.087332879,0.256743221
4.5,4750,-4.5,0.063521575,0.237982151
5,4750,-4.5,0.045601146,0.222868588
3.5,5000,-4.5,0.119923639,0.256250951
4,5000,-4.5,0.110537856,0.249699416
4.5,5000,-4.5,0.093493185,0.243333669
5,5000,-4.5,0.070634504,0.251491743
3.5,5250,-4.5,0.123784726,0.259455295
4,5250,-4.5,0.114148153,0.257447827
4.5,5250,-4.5,0.104549329,0.250444584
5,5250,-4.5,0.083013408,0.271513966
3.5,5500,-4.5,0.128130391,0.259401886
4,5500,-4.5,0.118852302,0.262086141
4.5,5500,-4.5,0.1099181,0.259715049
5,5500,-4.5,0.099848485,0.254382461
3.5,5750,-4.5,0.129816221,0.258429408
4,5750,-4.5,0.121133795,0.262468044
4.5,5750,-4.5,0.113274499,0.261711218
5,5750,-4.5,0.10363586,0.259161834
3.5,6000,-4.5,0.127307717,0.257292609
4,6000,-4.5,0.12103054,0.261979388
4.5,6000,-4.5,0.115334017,0.263107666
5,6000,-4.5,0.10755596,0.262474428
3.5,6250,-4.5,0.123955603,0.256540258
4,6250,-4.5,0.119803153,0.260868916
4.5,6250,-4.5,0.115765258,0.262902943
5,6250,-4.5,0.10921679,0.262663099
3.5,6500,-4.5,0.114994524,0.256952472
4,6500,-4.5,0.114012077,0.260185809
4.5,6500,-4.5,0.112552816,0.26157669
5,6500,-4.5,0.109128539,0.261705323
3.5,6750,-4.5,0.106897754,0.25774559
4,6750,-4.5,0.108275336,0.259984381
4.5,6750,-4.5,0.108857327,0.260845915
5,6750,-4.5,0.107692796,0.260679565
3.5,7000,-4.5,0.093326389,0.25877343
4,7000,-4.5,0.097775757,0.259527678
4.5,7000,-4.5,0.101150106,0.259698819
5,7000,-4.5,0.102603725,0.259217749
3.5,7250,-4.5,0.086062146,0.25857365
4,7250,-4.5,0.090363274,0.2587319
4.5,7250,-4.5,0.094843312,0.258782347
5,7250,-4.5,0.097947863,0.258240343
3.5,7500,-4.5,0.089264068,0.232320656
4,7500,-4.5,0.081482138,0.2553821
4.5,7500,-4.5,0.085250069,0.256416101
5,7500,-4.5,0.08965669,0.256347723
3.5,7750,-4.5,0.108628928,0.218644624
4,7750,-4.5,0.074366951,0.248052602
4.5,7750,-4.5,0.079853353,0.253915434
5,7750,-4.5,0.083843138,0.254543292
3.5,8000,-4.5,0.130190866,0.204115897
4,8000,-4.5,0.092827888,0.22741519
4.5,8000,-4.5,0.07171271,0.245660957
5,8000,-4.5,0.076072421,0.250502508
3.5,8250,-4.5,0.137557081,0.187122934
4,8250,-4.5,0.112651008,0.211799435
4.5,8250,-4.5,0.073961527,0.237233229
5,8250,-4.5,0.072779288,0.246283304
3.5,8500,-4.5,0.127735401,0.183553723
4,8500,-4.5,0.131197049,0.181736449
4.5,8500,-4.5,0.103874473,0.211897496
5,8500,-4.5,0.068261358,0.234899415
3.5,8750,-4.5,0.122203805,0.18210623
4,8750,-4.5,0.125180344,0.178286516
4.5,8750,-4.5,0.122221195,0.186464164
5,8750,-4.5,0.087617421,0.221796785
3.5,9000,-4.5,0.115910889,0.179389069
4,9000,-4.5,0.118076035,0.175251168
4.5,9000,-4.5,0.120556944,0.172840454
5,9000,-4.5,0.113436166,0.186688371
3.5,9250,-4.5,0.115910889,0.179389069
4,9250,-4.5,0.118076035,0.175251168
4.5,9250,-4.5,0.120556944,0.172840454
5,9250,-4.5,0.113436166,0.186688371
3.5,9500,-4.5,0.115910889,0.179389069
4,9500,-4.5,0.118076035,0.175251168
4.5,9500,-4.5,0.120556944,0.172840454
5,9500,-4.5,0.113436166,0.186688371
3.5,9750,-4.5,0.115910889,0.179389069
4,9750,-4.5,0.118076035,0.175251168
4.5,9750,-4.5,0.120556944,0.172840454
5,9750,-4.5,0.113436166,0.186688371
3.5,10000,-4.5,0.115910889,0.179389069
4,10000,-4.5,0.118076035,0.175251168
4.5,10000,-4.5,0.120556944,0.172840454
5,10000,-4.5,0.113436166,0.186688371
3.5,3750,-4,0.030897968,0.28435495
3.5,4000,-4,0.026375414,0.239476256
4,4000,-4,0.021616285,0.247825284
4.5,4000,-4,0.021439898,0.264217347
3.5,4250,-4,0.045310123,0.232441709
4,4250,-4,0.029460048,0.223176734
3.5,4500,-4,0.094099297,0.254193357
4,4500,-4,0.062885211,0.23817325
4.5,4500,-4,0.044315488,0.222405965
5,4500,-4,0.031802398,0.215338059
3.5,4750,-4,0.118918614,0.277178763
4,4750,-4,0.088562824,0.258192113
4.5,4750,-4,0.064298019,0.240097141
5,4750,-4,0.046004822,0.225042248
3.5,5000,-4,0.120073012,0.256394437
4,5000,-4,0.110846765,0.250067205
4.5,5000,-4,0.096510537,0.242464973
5,5000,-4,0.079195789,0.231058526
3.5,5250,-4,0.124230022,0.258940536
4,5250,-4,0.114655676,0.257023674
4.5,5250,-4,0.104645161,0.250666539
5,5250,-4,0.09497527,0.248252674
3.5,5500,-4,0.128448796,0.2590147
4,5500,-4,0.119519975,0.261224177
4.5,5500,-4,0.110320041,0.259357584
5,5500,-4,0.10010299,0.254238357
3.5,5750,-4,0.129783123,0.258178846
4,5750,-4,0.121495191,0.261937932
4.5,5750,-4,0.113593243,0.261421141
5,5750,-4,0.103977518,0.25870572
3.5,6000,-4,0.127662572,0.256556626
4,6000,-4,0.121531539,0.26131011
4.5,6000,-4,0.11575382,0.262495647
5,6000,-4,0.107911405,0.261850473
3.5,6250,-4,0.12406828,0.256103707
4,6250,-4,0.120081821,0.260284777
4.5,6250,-4,0.115673855,0.262096598
5,6250,-4,0.109707133,0.261615154
3.5,6500,-4,0.115306204,0.256593611
4,6500,-4,0.114007876,0.259678307
4.5,6500,-4,0.112637464,0.261085011
5,6500,-4,0.109329044,0.261257087
3.5,6750,-4,0.106992403,0.257388194
4,6750,-4,0.108518383,0.259591712
4.5,6750,-4,0.109055867,0.260372545
5,6750,-4,0.107724638,0.26026758
3.5,7000,-4,0.093371582,0.258424871
4,7000,-4,0.098073716,0.259030651
4.5,7000,-4,0.1012795,0.25929942
5,7000,-4,0.102730892,0.258830868
3.5,7250,-4,0.086161854,0.25825908
4,7250,-4,0.090394314,0.258437114
4.5,7250,-4,0.095025071,0.258433952
5,7250,-4,0.098154537,0.257922326
3.5,7500,-4,0.089009631,0.234526716
4,7500,-4,0.081580644,0.255093795
4.5,7500,-4,0.08537281,0.256147522
5,7500,-4,0.089822338,0.256101402
3.5,7750,-4,0.108993761,0.218124775
4,7750,-4,0.074538136,0.2477027
4.5,7750,-4,0.079922169,0.253695102
5,7750,-4,0.083992943,0.254306184
3.5,8000,-4,0.130326886,0.203824157
4,8000,-4,0.093020514,0.227160098
4.5,8000,-4,0.071770693,0.245484091
5,8000,-4,0.076166848,0.250299004
3.5,8250,-4,0.13751287,0.186979539
4,8250,-4,0.112827372,0.211513587
4.5,8250,-4,0.073941085,0.236823523
5,8250,-4,0.07281441,0.246069206
3.5,8500,-4,0.127659871,0.183488975
4,8500,-4,0.131153347,0.181608578
4.5,8500,-4,0.103989745,0.211632752
5,8500,-4,0.068365791,0.234713736
3.5,8750,-4,0.122140586,0.182025291
4,8750,-4,0.125104299,0.178231998
4.5,8750,-4,0.122341399,0.186192538
5,8750,-4,0.08774084,0.22155872
3.5,9000,-4,0.11587087,0.179260874
4,9000,-4,0.118013783,0.175168364
4.5,9000,-4,0.120483741,0.172784603
5,9000,-4,0.113522765,0.186457033
3.5,9250,-4,0.11587087,0.179260874
4,9250,-4,0.118013783,0.175168364
4.5,9250,-4,0.120483741,0.172784603
5,9250,-4,0.113522765,0.186457033
3.5,9500,-4,0.11587087,0.179260874
4,9500,-4,0.118013783,0.175168364
4.5,9500,-4,0.120483741,0.172784603
5,9500,-4,0.113522765,0.186457033
3.5,9750,-4,0.11587087,0.179260874
4,9750,-4,0.118013783,0.175168364
4.5,9750,-4,0.120483741,0.172784603
5,9750,-4,0.113522765,0.186457033
3.5,10000,-4,0.11587087,0.179260874
4,10000,-4,0.118013783,0.175168364
4.5,10000,-4,0.120483741,0.172784603
5,10000,-4,0.113522765,0.186457033
3.5,3500,-3.5,0.046091354,0.297557527
3.5,3750,-3.5,0.045198212,0.275323963
4,3750,-3.5,0.04637452,0.281302322
3.5,4000,-3.5,0.031352055,0.265974603
4,4000,-3.5,0.028769241,0.267530247
4.5,4000,-3.5,0.031437904,0.273399849
3.5,4250,-3.5,0.048089072,0.254031227
4,4250,-3.5,0.031878414,0.248406921
4.5,4250,-3.5,0.025166453,0.25035388
3.5,4500,-3.5,0.097036726,0.261176725
4,4500,-3.5,0.065232958,0.246408868
4.5,4500,-3.5,0.044616379,0.234151516
5,4500,-3.5,0.032893123,0.225950057
3.5,4750,-3.5,0.121949931,0.279011886
4,4750,-3.5,0.096937788,0.235882315
4.5,4750,-3.5,0.071731971,0.231425129
5,4750,-3.5,0.046873447,0.231346241
3.5,5000,-3.5,0.160974316,0.275974723
4,5000,-3.5,0.120784283,0.285066066
4.5,5000,-3.5,0.092489316,0.272779285
5,5000,-3.5,0.071972659,0.254955867
3.5,5250,-3.5,0.190089349,0.25092002
4,5250,-3.5,0.144434502,0.280223037
4.5,5250,-3.5,0.109002513,0.284872964
5,5250,-3.5,0.084372313,0.273299382
3.5,5500,-3.5,0.129158864,0.258178065
4,5500,-3.5,0.119998162,0.260885612
4.5,5500,-3.5,0.110549259,0.259335609
5,5500,-3.5,0.099888021,0.255058686
3.5,5750,-3.5,0.130159167,0.257590392
4,5750,-3.5,0.121898163,0.261246718
4.5,5750,-3.5,0.114006448,0.260796745
5,5750,-3.5,0.10473271,0.25795578
3.5,6000,-3.5,0.12886584,0.255825624
4,6000,-3.5,0.1223075,0.260700398
4.5,6000,-3.5,0.116104035,0.261800598
5,6000,-3.5,0.108215104,0.26139987
3.5,6250,-3.5,0.124442534,0.255364088
4,6250,-3.5,0.120367562,0.259600177
4.5,6250,-3.5,0.116693972,0.261450777
5,6250,-3.5,0.110046497,0.26134701
3.5,6500,-3.5,0.115549633,0.255897856
4,6500,-3.5,0.114674156,0.258983177
4.5,6500,-3.5,0.113109832,0.260404285
5,6500,-3.5,0.109711515,0.260405422
3.5,6750,-3.5,0.107142131,0.256842869
4,6750,-3.5,0.108653764,0.258883358
4.5,6750,-3.5,0.109392885,0.259661068
5,6750,-3.5,0.108354802,0.259600429
3.5,7000,-3.5,0.093503543,0.258043896
4,7000,-3.5,0.09806449,0.258591219
4.5,7000,-3.5,0.101457996,0.258658681
5,7000,-3.5,0.103054517,0.25815895
3.5,7250,-3.5,0.086280016,0.257842824
4,7250,-3.5,0.090567831,0.257922405
4.5,7250,-3.5,0.095156451,0.257863469
5,7250,-3.5,0.098465128,0.25727651
3.5,7500,-3.5,0.087674587,0.239222593
4,7500,-3.5,0.081650775,0.254673096
4.5,7500,-3.5,0.085486288,0.255630962
5,7500,-3.5,0.089904623,0.255521936
3.5,7750,-3.5,0.109497121,0.217291606
4,7750,-3.5,0.074712056,0.247227108
4.5,7750,-3.5,0.080059007,0.253221685
5,7750,-3.5,0.084055855,0.25379028
3.5,8000,-3.5,0.130421163,0.203500783
4,8000,-3.5,0.093343911,0.226822208
4.5,8000,-3.5,0.071906883,0.245074978
5,8000,-3.5,0.076295078,0.249827635
3.5,8250,-3.5,0.137402687,0.186818152
4,8250,-3.5,0.113110795,0.211092276
4.5,8250,-3.5,0.074067963,0.236234483
5,8250,-3.5,0.072957991,0.245664536
3.5,8500,-3.5,0.127554154,0.183372683
4,8500,-3.5,0.131080497,0.181386904
4.5,8500,-3.5,0.104315045,0.211075475
5,8500,-3.5,0.068644028,0.234379431
3.5,8750,-3.5,0.12205629,0.181865706
4,8750,-3.5,0.125012318,0.178081481
4.5,8750,-3.5,0.122583746,0.185658746
5,8750,-3.5,0.088033415,0.221095633
3.5,9000,-3.5,0.115810306,0.179024707
4,9000,-3.5,0.117945627,0.174988975
4.5,9000,-3.5,0.120395074,0.172642359
5,9000,-3.5,0.113681592,0.186030706
3.5,9250,-3.5,0.115810306,0.179024707
4,9250,-3.5,0.117945627,0.174988975
4.5,9250,-3.5,0.120395074,0.172642359
5,9250,-3.5,0.113681592,0.186030706
3.5,9500,-3.5,0.115810306,0.179024707
4,9500,-3.5,0.117945627,0.174988975
4.5,9500,-3.5,0.120395074,0.172642359
5,9500,-3.5,0.113681592,0.186030706
3.5,9750,-3.5,0.115810306,0.179024707
4,9750,-3.5,0.117945627,0.174988975
4.5,9750,-3.5,0.120395074,0.172642359
5,9750,-3.5,0.113681592,0.186030706
3.5,10000,-3.5,0.115810306,0.179024707
4,10000,-3.5,0.117945627,0.174988975
4.5,10000,-3.5,0.120395074,0.172642359
5,10000,-3.5,0.113681592,0.186030706
3.5,3500,-3,0.048672896,0.290293911
4,3500,-3,0.04931794,0.303793874
3.5,3750,-3,0.054352946,0.26633499
4,3750,-3,0.050235215,0.274634343
4.5,3750,-3,0.048407328,0.287935481
5,3750,-3,0.051303401,0.307251136
3.5,4000,-3,0.054057993,0.277721075
4,4000,-3,0.044746639,0.273484578
4.5,4000,-3,0.043974927,0.270432736
5,4000,-3,0.046659172,0.270284649
3.5,4250,-3,0.062503051,0.277661714
4,4250,-3,0.043181824,0.270473759
4.5,4250,-3,0.03700164,0.267608031
5,4250,-3,0.035723391,0.271186158
3.5,4500,-3,0.105531559,0.251867472
4,4500,-3,0.075578427,0.250681145
4.5,4500,-3,0.05189085,0.247423774
5,4500,-3,0.036215141,0.246093283
3.5,4750,-3,0.114455371,0.25646263
4,4750,-3,0.099307321,0.246226963
4.5,4750,-3,0.075413481,0.239298317
5,4750,-3,0.052793105,0.238203006
3.5,5000,-3,0.125023724,0.253831315
4,5000,-3,0.113074661,0.253882318
4.5,5000,-3,0.098784327,0.246227152
5,5000,-3,0.079710803,0.242670841
3.5,5250,-3,0.126257539,0.25811305
4,5250,-3,0.116485179,0.257500867
4.5,5250,-3,0.106152218,0.252153453
5,5250,-3,0.091563417,0.247922908
3.5,5500,-3,0.129739977,0.257504467
4,5500,-3,0.12098668,0.260041758
4.5,5500,-3,0.111975072,0.258534259
5,5500,-3,0.1012136,0.254432923
3.5,5750,-3,0.13086363,0.256455284
4,5750,-3,0.123023444,0.260212423
4.5,5750,-3,0.114683637,0.260314959
5,5750,-3,0.105253555,0.257870593
3.5,6000,-3,0.128437251,0.255022623
4,6000,-3,0.122431833,0.259619821
4.5,6000,-3,0.116586172,0.260970226
5,6000,-3,0.108864839,0.260526602
3.5,6250,-3,0.124679552,0.254549693
4,6250,-3,0.120588361,0.258819069
4.5,6250,-3,0.116759027,0.260433602
5,6250,-3,0.110656715,0.260262201
3.5,6500,-3,0.11539985,0.255104623
4,6500,-3,0.114597142,0.258098983
4.5,6500,-3,0.113303734,0.259467598
5,6500,-3,0.109944369,0.259707708
3.5,6750,-3,0.107216286,0.256157921
4,6750,-3,0.108711895,0.257994645
4.5,6750,-3,0.109664757,0.258674606
5,6750,-3,0.108670462,0.258311726
3.5,7000,-3,0.093487894,0.257397661
4,7000,-3,0.098083303,0.257823069
4.5,7000,-3,0.101663946,0.25777967
5,7000,-3,0.103333889,0.257316262
3.5,7250,-3,0.086269279,0.257316359
4,7250,-3,0.090573553,0.257289657
4.5,7250,-3,0.095340256,0.257057841
5,7250,-3,0.098496167,0.256373966
3.5,7500,-3,0.087448122,0.240833045
4,7500,-3,0.081691482,0.254117566
4.5,7500,-3,0.085619113,0.255013432
5,7500,-3,0.090096357,0.254750027
3.5,7750,-3,0.109945865,0.216751925
4,7750,-3,0.074857327,0.246724631
4.5,7750,-3,0.080191975,0.252686426
5,7750,-3,0.08418054,0.253145313
3.5,8000,-3,0.130624127,0.203044453
4,8000,-3,0.093783695,0.226625026
4.5,8000,-3,0.072013941,0.244589823
5,8000,-3,0.076502921,0.249288529
3.5,8250,-3,0.137203707,0.186704666
4,8250,-3,0.113574675,0.210490395
4.5,8250,-3,0.074391392,0.23569982
5,8250,-3,0.073869836,0.24522191
3.5,8500,-3,0.127328738,0.183350603
4,8500,-3,0.130897495,0.181192031
4.5,8500,-3,0.104721478,0.210312408
5,8500,-3,0.069236579,0.233960991
3.5,8750,-3,0.121882909,0.181734088
4,8750,-3,0.124824802,0.177974458
4.5,8750,-3,0.122937947,0.184896176
5,8750,-3,0.088330185,0.220431617
3.5,9000,-3,0.115723355,0.178642799
4,9000,-3,0.117809284,0.174769873
4.5,9000,-3,0.120216653,0.172468944
5,9000,-3,0.113903512,0.185352499
3.5,9250,-3,0.115723355,0.178642799
4,9250,-3,0.117809284,0.174769873
4.5,9250,-3,0.120216653,0.172468944
5,9250,-3,0.113903512,0.185352499
3.5,9500,-3,0.115723355,0.178642799
4,9500,-3,0.117809284,0.174769873
4.5,9500,-3,0.120216653,0.172468944
5,9500,-3,0.113903512,0.185352499
3.5,9750,-3,0.115723355,0.178642799
4,9750,-3,0.117809284,0.174769873
4.5,9750,-3,0.120216653,0.172468944
5,9750,-3,0.113903512,0.185352499
3.5,10000,-3,0.115723355,0.178642799
4,10000,-3,0.117809284,0.174769873
4.5,10000,-3,0.120216653,0.172468944
5,10000,-3,0.113903512,0.185352499
3.5,3500,-2.5,0.052282748,0.281951245
4,3500,-2.5,0.051263025,0.294120051
3.5,3750,-2.5,0.060243532,0.269758149
4,3750,-2.5,0.051650157,0.271105139
4.5,3750,-2.5,0.050553143,0.282264218
3.5,4000,-2.5,0.092110159,0.277422457
